"author","n"
"Özer M",1
"Öberg K",1
"Çolak E",1
"vonKnorring T",1
"van der Tuuk K",2
"van der Miesen A I R",4
"van der Meulen I S",1
"van der Loos M A T C",3
"van den Boogaard E",1
"van den Berg M",1
"van de Grift T C",2
"van Zijverden L M",1
"van Honk J",1
"van Heesewijk J O",2
"van Diemen J J K",1
"in collaboration with the participants in the International Consensus Conference on Intersex organized by the Lawson Wilkins Pediatric Endocrine Society and the European Society for Paediatric Endocrinology",1
"den Heijer M",12
"deMayo B E",1
"de Vries M C",3
"de Vries E",1
"de Vries A L C",16
"de Jongh R T",1
"de Graaf N M",4
"de Freminville J B",1
"de Blok C J M",3
"da Silva D C",1
"and the Global DSD Update Consortium",1
"Zuger B",1
"Zucker K J",8
"Zitz C",1
"Zhang Y",1
"Zhang Q",1
"Zepf F D",1
"Zeitler P",1
"Yürekli B S",1
"Yunus R",1
"Yu R",1
"Younoszai M",1
"Yorulmaz G",1
"Yeung H",1
"YepesNuñez J J",1
"Yelisetti R",1
"Yee S",1
"Yalcinkaya R",1
"Yalcinkaya A",1
"Xu R",1
"Xie H",1
"Wright T",1
"Wright L N",1
"Wright C M",1
"Wreford J",1
"Wouters F M",1
"Wortman A",1
"Woolley T E",1
"Wood H",1
"Wong W I",1
"Wong C F",1
"Wolfe I",1
"Withers R",2
"Witchel S",1
"Winzeler B",2
"Winter S",1
"Windischberger C",1
"Wilson T A",1
"Wilson S C",1
"Wilson P",3
"Wilson L M",1
"Williams K",1
"Wilde B",1
"Wiepjes C M",8
"Whitehead J",2
"White R",1
"White M",1
"White A A",1
"West M A",1
"Wesp L M",1
"WensingKruger S A",1
"Welling L L",1
"Weiss J",1
"Weinand J",1
"Weber L E",1
"Webb R T",1
"Watson N",1
"Wasserman L",1
"Warus J",1
"Warenius M A S",1
"Ward D H",1
"Wanta J W",1
"Wang L",1
"Walzer N K",1
"Wall C S J",1
"Walker S",1
"Walch A",2
"Wainipitapong S",1
"Wagenaar E C F",1
"Vupputuri S",1
"Vujovic S",1
"Vrouenraets L J J J",1
"Volk J",1
"Vlot M C",2
"Visser K",1
"Visnitchi D",1
"Vink P",1
"Vinik J",1
"Viner R M",1
"Vincent B",1
"Vilsbøll T",1
"Vilain E",1
"Victor S",1
"Vickerstaff V",1
"Vibert V",1
"Viana D P D C",1
"Vervalcke J",2
"Verroken C",1
"Verma R",1
"Verlooy R",1
"Verhaak C",1
"Ventresca C",1
"Vento F D",1
"Vencill J A",1
"Venalainen S",1
"Veldeman L",1
"Veale J F",1
"Vargas S O",1
"Vargas Fiesco D C",1
"Vankrunkelsven P",1
"VanderLaan D P",2
"Vandendriessche C",1
"Vandenbussche E",1
"Van Trotsenburg M A A",1
"Van Trotsenburg M",1
"Van Trotsenburg A S P",2
"Van Schuylenbergh J",1
"Van Offel S",1
"Van Mol A",3
"Van Meter Q L",2
"Van Mello N M",3
"Van Goozen S H",1
"Van Den Heuvel O A",1
"Van Breukelen G J",1
"Valaskivi L",1
"Vala L N",1
"Vajapeyam S",1
