"author","n","aff"
"Abbruzzese E",4,"SEGM"
"AbosiAppeadu K",1,"none"
"Abramovich A",3,"none"
"Acevedo K",1,"none"
"Achille C",1,"none"
"Adams N J",1,"WPATH SOC8"
"Adirim T A",1,"none"
"Adolfsson J",1,"none"
"Adom S",1,"none"
"Adrian T M",1,"WPATH SOC8"
"Agarwal C A",1,"none"
"Aghi K",1,"none"
"Ahmed S F",2,"none"
"Ahrens K",1,"none"
"Aitken M",1,"none"
"Akalın A",1,"none"
"Alanko K",1,"none"
"AlbaAlejandre I",1,"none"
"Alho J",1,"none"
"Allen L R",3,"WPATH SOC8"
"Allgayer R M",1,"none"
"Allison C",1,"none"
"Almazan A N",1,"none"
"Altaye M",1,"none"
"Alto L D S M",1,"none"
"Alzahrani T",1,"none"
"Ambler G R",3,"none"
"Ames M",1,"none"
"Aminov Z",1,"none"
"Amos A",1,"none"
"Amos S",1,"none"
"Anckarsäter H",1,"none"
"and the Global DSD Update Consortium",1,"none"
"Anderson J",1,"none"
"Anderson R A",1,"none"
"Anderson W J",1,"none"
"Anderssen N",1,"none"
"Anes M",1,"none"
"Anzai L",1,"none"
"Arain M",1,"none"
"Araya A",1,"none"
"ArayaColvin J",1,"none"
"Arcelus J",1,"WPATH SOC8"
"Ardeniz Ö",1,"none"
"Arif I",1,"none"
"Arnold A P",1,"none"
"Arnoldussen M",3,"none"
"Arver S",1,"none"
"Ashley F",2,"none"
"Ashman A",1,"none"
"Assad N",1,"none"
"Asseler J",1,"none"
"Athéa N",2,"SEGM-funded"
"Auchus R",1,"none"
"Ayad S",1,"SEGM"
"Azul D",1,"WPATH SOC8"
"Azzi M",1,"none"
"Bagga H",1,"WPATH SOC8"
"Bailey J M",4,"SEGM-funded"
"Bailey S",1,"none"
"Bailie E",1,"none"
"Baird T C",1,"none"
"Baker F C",1,"none"
"Baker K E",1,"none"
"Balasubramanian P",1,"none"
"Balasubramanian R",2,"none"
"Balkau B",1,"none"
"Banaschewski T",1,"none"
"Bangasser D A",1,"none"
"Banos D R",1,"none"
"Baram S",1,"none"
"Baratz A",1,"none"
"Baratz Dalke K",1,"none"
"Barbi E",1,"none"
"Barbosa L",1,"none"
"Barger B T",1,"none"
"Barker A",1,"none"
"Barkmann C",2,"none"
"BaronCohen S",2,"none"
"Barouti K",1,"none"
"Barrera E",1,"none"
"Bartick M C",1,"none"
"Basar K",1,"WPATH SOC8"
"Batchelder H R",1,"none"
"Bates S M",1,"none"
"Bathory D S",1,"WPATH SOC8"
"BecerraCulqui T A",1,"none"
"Beck S",2,"none"
"BeckerHebly I",2,"none"
"Beekman A J",1,"none"
"Beier K M",1,"none"
"Belaghi R",1,"none"
"Belinky J J",1,"WPATH SOC8"
"Bellingham M",1,"none"
"Belluzzi B",1,"none"
"Beltran T G",1,"none"
"Belzer M",2,"none"
"Berg D R",1,"WPATH SOC8"
"Bergman H",1,"none"
"Bergman N J",1,"none"
"Berli J U",1,"WPATH SOC8"
"Berona J",1,"none"
"Bewley S",9,"none"
"Bhargava A",1,"none"
"Bhasin S",1,"none"
"Bickendorf X",1,"none"
"Biggiani C",1,"none"
"Biggs M",9,"SEGM"
"Bindt C",1,"none"
"BischofbergerBaumann B",1,"none"
"Bizic M R",1,"none"
"Bjerkeli E T",1,"none"
"Bjerkeset O",1,"none"
"Blackford J U",1,"none"
"Blakemore S J",1,"none"
"Blalock K",1,"none"
"Blanchard R",2,"none"
"Blankensteijn L L",1,"none"
"Blankenstein M A",1,"none"
"Blomqvist L",1,"none"
"BluebondLangner R O",1,"WPATH SOC8"
"Böckerman P",1,"none"
"Bolstad S H",2,"none"
"Bonfatto M",1,"none"
"Bonnet F",2,"none"
"Boogers L S",2,"none"
"Borba G D S",1,"none"
"Borer J G",1,"none"
"Bos P A",1,"none"
"Boskey E R",1,"none"
"Bothwell L G",1,"none"
"Bouman M B",3,"none"
"Bouman W P",1,"WPATH SOC8"
"Bour S",1,"none"
"Bowers M L",1,"none"
"Boyd I",1,"none"
"Braaten T",1,"none"
"Bradley S J",2,"none"
"Brandsma T",1,"none"
"Brassard P J",1,"WPATH SOC8"
"Breedlove S M",2,"none"
"Bresciani G",1,"none"
"Brevik I",1,"none"
"Brezin F",1,"none"
"BrignardelloPetersen R",3,"SEGM-funded"
"Broekman B F",1,"none"
"Bromseth J",1,"none"
"Brown A",1,"none"
"Brown G R",1,"WPATH SOC8"
"Bruneel L",1,"none"
"Brydges H T",1,"none"
"Bucher J",1,"none"
"Budge S",1,"none"
"Bueno L H",1,"none"
"Bumphenkiatikul T",1,"none"
"Buncamper M E",1,"none"
"Bungener S L",1,"none"
"Burgoon S",1,"none"
"Burgwal A",1,"none"
"Bush P G",1,"none"
"Busiah K",1,"none"
"Butler C",1,"none"
"Butler G",4,"none"
"Butts S",1,"none"
"Byng R",4,"SEGM"
"Byrne A",3,"none"
"Byrne J",1,"WPATH SOC8"
