"to","from","weight"
"Allen L R","Dodd C G",1
"Allen L R","Moser C N",1
"Allen L R","Knoll M M",1
"Dodd C G","Moser C N",1
"Dodd C G","Knoll M M",1
"Knoll M M","Moser C N",1
"KulatungaMoruzi C","Sim P",1
"KulatungaMoruzi C","Mitchell I",1
"KulatungaMoruzi C","Palmer D",1
"Joffe A R","KulatungaMoruzi C",1
"Mitchell I","Sim P",1
"Palmer D","Sim P",1
"Joffe A R","Sim P",1
"Mitchell I","Palmer D",1
"Joffe A R","Mitchell I",1
"Joffe A R","Palmer D",1
"Donahue K","Gohil A",1
"Eugster E A","Gohil A",1
"Donahue K","Eugster E A",1
"Hunter P K","Kozlowska K",1
"Clayton A","Kozlowska K",1
"Kaliebe K","Kozlowska K",1
"Kozlowska K","Scher S",3
"Clayton A","Hunter P K",1
"Hunter P K","Kaliebe K",1
"Hunter P K","Scher S",1
"Clayton A","Kaliebe K",1
"Clayton A","Scher S",1
"Kaliebe K","Scher S",1
"Arnoldussen M","van der Meulen I S",1
"van der Meulen I S","van der Miesen A I R",1
"Hannema S E","van der Meulen I S",1
"Steensma T D","van der Meulen I S",1
"de Vries A L C","van der Meulen I S",1
"Kreukels B P C","van der Meulen I S",1
"Arnoldussen M","van der Miesen A I R",2
"Arnoldussen M","Hannema S E",2
"Arnoldussen M","Steensma T D",2
"Arnoldussen M","de Vries A L C",3
"Arnoldussen M","Kreukels B P C",1
"Hannema S E","van der Miesen A I R",1
"Steensma T D","van der Miesen A I R",2
"de Vries A L C","van der Miesen A I R",3
"Kreukels B P C","van der Miesen A I R",1
"Hannema S E","Steensma T D",2
"de Vries A L C","Hannema S E",3
"Hannema S E","Kreukels B P C",2
"de Vries A L C","Steensma T D",11
"Kreukels B P C","Steensma T D",7
"de Vries A L C","Kreukels B P C",6
"ExpósitoCampos P","Rackliff K",2
"Gould W A","Rackliff K",2
"Kinitz D J","Rackliff K",1
"Rackliff K","Rosen M",1
"Rackliff K","Rudd S",1
"Lam J S H","Rackliff K",2
"Pullen Sansfaçon A","Rackliff K",2
"MacKinnon K R","Rackliff K",2
"ExpósitoCampos P","Gould W A",2
"ExpósitoCampos P","Kinitz D J",1
"ExpósitoCampos P","Rosen M",1
"ExpósitoCampos P","Rudd S",1
"ExpósitoCampos P","Lam J S H",2
"ExpósitoCampos P","Pullen Sansfaçon A",2
"ExpósitoCampos P","MacKinnon K R",2
"Gould W A","Kinitz D J",1
"Gould W A","Rosen M",1
"Gould W A","Rudd S",1
"Gould W A","Lam J S H",4
"Gould W A","Pullen Sansfaçon A",2
"Gould W A","MacKinnon K R",4
"Kinitz D J","Rosen M",1
"Kinitz D J","Rudd S",1
"Kinitz D J","Lam J S H",1
"Kinitz D J","Pullen Sansfaçon A",1
"Kinitz D J","MacKinnon K R",1
"Rosen M","Rudd S",1
"Lam J S H","Rosen M",1
"Pullen Sansfaçon A","Rosen M",1
"MacKinnon K R","Rosen M",1
"Lam J S H","Rudd S",1
"Pullen Sansfaçon A","Rudd S",1
"MacKinnon K R","Rudd S",1
"Lam J S H","Pullen Sansfaçon A",2
"Lam J S H","MacKinnon K R",4
"MacKinnon K R","Pullen Sansfaçon A",2
"DurazoArvizu R","OlsonKennedy J",1
"OlsonKennedy J","Wang L",1
"OlsonKennedy J","Wong C F",1
"Chen D","OlsonKennedy J",3
"Ehrensaft D","OlsonKennedy J",3
"Hidalgo M A","OlsonKennedy J",3
"Chan Y M","OlsonKennedy J",5
"Garofalo R","OlsonKennedy J",5
"OlsonKennedy J","Rosenthal S M",5
"OlsonKennedy J","Radix A E",1
"DurazoArvizu R","Wang L",1
"DurazoArvizu R","Wong C F",1
"Chen D","DurazoArvizu R",1
"DurazoArvizu R","Ehrensaft D",1
"DurazoArvizu R","Hidalgo M A",1
"Chan Y M","DurazoArvizu R",1
"DurazoArvizu R","Garofalo R",1
"DurazoArvizu R","Rosenthal S M",1
"DurazoArvizu R","Radix A E",1
"Wang L","Wong C F",1
"Chen D","Wang L",1
"Ehrensaft D","Wang L",1
"Hidalgo M A","Wang L",1
"Chan Y M","Wang L",1
"Garofalo R","Wang L",1
"Rosenthal S M","Wang L",1
"Radix A E","Wang L",1
"Chen D","Wong C F",1
"Ehrensaft D","Wong C F",1
"Hidalgo M A","Wong C F",1
"Chan Y M","Wong C F",1
"Garofalo R","Wong C F",1
"Rosenthal S M","Wong C F",1
"Radix A E","Wong C F",1
"Chen D","Ehrensaft D",3
"Chen D","Hidalgo M A",3
"Chan Y M","Chen D",3
"Chen D","Garofalo R",3
"Chen D","Rosenthal S M",3
"Chen D","Radix A E",1
"Ehrensaft D","Hidalgo M A",3
"Chan Y M","Ehrensaft D",3
"Ehrensaft D","Garofalo R",3
"Ehrensaft D","Rosenthal S M",4
"Ehrensaft D","Radix A E",2
"Chan Y M","Hidalgo M A",3
"Garofalo R","Hidalgo M A",3
"Hidalgo M A","Rosenthal S M",3
"Hidalgo M A","Radix A E",1
"Chan Y M","Garofalo R",5
"Chan Y M","Rosenthal S M",5
"Chan Y M","Radix A E",1
"Garofalo R","Rosenthal S M",5
"Garofalo R","Radix A E",1
"Radix A E","Rosenthal S M",2
"Cohn J","McDeavitt K",2
"KulatungaMoruzi C","McDeavitt K",1
"Cohn J","KulatungaMoruzi C",1
"Lahl J","Laidlaw M K",1
"Laidlaw M K","Thompson A",1
"Lahl J","Thompson A",1
"Smeehuijzen L","Smids J",1
"Hoekstra C","Smeehuijzen L",1
"Hoekstra C","Smids J",1
"Oosthoek E D","Stanwich S",1
"Gerritse K","Oosthoek E D",1
"Doyle D M","Oosthoek E D",1
"de Vries A L C","Oosthoek E D",1
"Gerritse K","Stanwich S",1
"Doyle D M","Stanwich S",1
"de Vries A L C","Stanwich S",1
"Doyle D M","Gerritse K",1
"de Vries A L C","Gerritse K",1
"de Vries A L C","Doyle D M",1
"Miroshnychenko A","Roldan Y M",3
"Ibrahim S","Miroshnychenko A",3
"KulatungaMoruzi C","Miroshnychenko A",3
"Dahlin K","Miroshnychenko A",1
"Miroshnychenko A","Montante S",3
"Couban R","Miroshnychenko A",3
"Guyatt G","Miroshnychenko A",3
"BrignardelloPetersen R","Miroshnychenko A",3
"Ibrahim S","Roldan Y M",3
"KulatungaMoruzi C","Roldan Y M",3
"Dahlin K","Roldan Y M",1
"Montante S","Roldan Y M",3
"Couban R","Roldan Y M",3
"Guyatt G","Roldan Y M",3
"BrignardelloPetersen R","Roldan Y M",3
"Ibrahim S","KulatungaMoruzi C",3
"Dahlin K","Ibrahim S",1
"Ibrahim S","Montante S",3
"Couban R","Ibrahim S",3
"Guyatt G","Ibrahim S",3
"BrignardelloPetersen R","Ibrahim S",3
"Dahlin K","KulatungaMoruzi C",1
"KulatungaMoruzi C","Montante S",3
"Couban R","KulatungaMoruzi C",3
"Guyatt G","KulatungaMoruzi C",3
"BrignardelloPetersen R","KulatungaMoruzi C",3
"Dahlin K","Montante S",1
"Couban R","Dahlin K",1
"Dahlin K","Guyatt G",1
"BrignardelloPetersen R","Dahlin K",1
"Couban R","Montante S",3
"Guyatt G","Montante S",3
"BrignardelloPetersen R","Montante S",3
"Couban R","Guyatt G",3
"BrignardelloPetersen R","Couban R",3
"BrignardelloPetersen R","Guyatt G",3
"Khosravi M","Tusconi M",1
"Khosravi M","Noor I M",1
"Hsu C Y","Khosravi M",1
"Khosravi M","Sahoo S",1
"Aminov Z","Khosravi M",1
"Khosravi M","Mishra S",1
"Noor I M","Tusconi M",1
"Hsu C Y","Tusconi M",1
"Sahoo S","Tusconi M",1
"Aminov Z","Tusconi M",1
"Mishra S","Tusconi M",1
"Hsu C Y","Noor I M",1
"Noor I M","Sahoo S",1
"Aminov Z","Noor I M",1
"Mishra S","Noor I M",1
"Hsu C Y","Sahoo S",1
"Aminov Z","Hsu C Y",1
"Hsu C Y","Mishra S",1
"Aminov Z","Sahoo S",1
"Mishra S","Sahoo S",1
"Aminov Z","Mishra S",1
"Heathcote C","Taylor J",5
"Hall R","Heathcote C",5
"Heathcote C","Jarvis S W",2
"Heathcote C","Langton T",5
"Heathcote C","Hewitt C E",5
"Fraser L","Heathcote C",5
"Hall R","Taylor J",8
"Jarvis S W","Taylor J",2
"Langton T","Taylor J",8
"Hewitt C E","Taylor J",8
"Fraser L","Taylor J",8
"Hall R","Jarvis S W",2
"Hall R","Langton T",8
"Hall R","Hewitt C E",8
"Fraser L","Hall R",8
"Jarvis S W","Langton T",2
"Hewitt C E","Jarvis S W",2
"Fraser L","Jarvis S W",2
"Hewitt C E","Langton T",8
"Fraser L","Langton T",8
"Fraser L","Hewitt C E",8
"König L","Zepf F D",1
"Kaiser A","Zepf F D",1
"Ligges C","Zepf F D",1
"Ligges M","Zepf F D",1
"Roessner V","Zepf F D",1
"Banaschewski T","Zepf F D",1
"Holtmann M","Zepf F D",1
"Kaiser A","König L",1
"König L","Ligges C",1
"König L","Ligges M",1
"König L","Roessner V",1
"Banaschewski T","König L",1
"Holtmann M","König L",1
"Kaiser A","Ligges C",1
"Kaiser A","Ligges M",1
"Kaiser A","Roessner V",1
"Banaschewski T","Kaiser A",1
"Holtmann M","Kaiser A",1
"Ligges C","Ligges M",1
"Ligges C","Roessner V",1
