"journal","n","apc","parent","profit"
"Acta Paediatrica",9,4690,"Wiley",42210
"Actas Esp Psiquiatr",1,2973,"Fundacion Juan Jose Lopez-Ibor",2973
"Adolescent Health, Medicine and Therapeutics",1,0,"Taylor & Francis",0
"Advances in Psychiatric Treatment",1,3655,"Cambridge University Press",3655
"American Journal of Obstetrics and Gynecology",1,5680,"Elsevier",5680
"American Journal of Psychiatry",4,0,"American Psychiatric Association",0
"American Psychologist",1,3500,"American Psychological Association",3500
"Andrology",1,3180,"Wiley",3180
"Annals of epidemiology",1,3630,"Elsevier",3630
"Annals of internal medicine",1,0,"American College of Physicians",0
"Annals of Plastic Surgery",2,4300,"Wolters Kluwer",8600
"Annals of Surgery Open",1,2250,"Wolters Kluwer",2250
"Archives of Disease in Childhood",11,5877,"BMJ Group",64647
"Archives of General Psychiatry",1,0,"JAMA Network",0
"Archives of Sexual Behavior",34,3190,"Springer Nature",108460
"Australasian Psychiatry",5,4440,"Sage Publications",22200
"Best Practice & Research Clinical Obstetrics & Gynaecology",1,4730,"Elsevier",4730
"BioMed Research International",1,2950,"Wiley",2950
"BJPsych Bulletin",2,3655,"Cambridge University Press",7310
"BJPsych Open",1,3655,"Cambridge University Press",3655
"BMC Medical Ethics",1,2390,"Springer Nature",2390
"BMC Medical Research Methodology",1,3090,"Springer Nature",3090
"BMC Psychiatry",1,3390,"Springer Nature",3390
"BMC Public Health",1,3450,"Springer Nature",3450
"BMJ",6,8090,"BMJ Group",48540
"BMJ Mental Health",1,4925,"BMJ Group",4925
"BMJ Open",1,3190,"BMJ Group",3190
"Body Image",1,4290,"Elsevier",4290
"Bone",1,3830,"Elsevier",3830
"Brain",1,6099,"Oxford University Press",6099
"Brain Structure & Function",1,5090,"Springer Nature",5090
"British Journal of General Practice",1,3342,"Royal College of General Practitioners",3342
"British Journal of Healthcare Management",1,1450,"Mark Allen Group",1450
"British Journal of Psychotherapy",1,3350,"Wiley",3350
"British Journal of Sports Medicine",1,6006,"BMJ Group",6006
"Case Reports in Plastic Surgery & Hand Surgery",1,1846,"Taylor & Francis",1846
"Child and Adolescent Mental Health",6,3700,"Wiley",22200
"Child and Adolescent Psychiatry and Mental Health",1,3290,"Springer Nature",3290
"Child Maltreatment",1,4170,"Sage Publications",4170
"Children",2,2966,"MDPI",5932
"Circulation",1,5400,"American Heart Association",5400
"Circulation: Cardiovascular Quality and Outcomes",1,0,"American Heart Association",0
"Clinical Case Reports",1,1910,"Wiley",1910
"Clinical Child Psychology and Psychiatry",5,3910,"Sage Publications",19550
"Clinical Practice in Pediatric Psychology",1,3210,"Sage Publications",3210
"Clinical Reviews in Bone and Mineral Metabolism",1,0,"Wolters Kluwer",0
"Culture, Health & Sexuality",1,5190,"Taylor & Francis",5190
"Cureus",2,0,"Springer Nature",0
"Current Opinion in Psychology",2,4050,"Elsevier",8100
"Current Opinion in Urology",1,3888,"Wolters Kluwer",3888
"Current Sexual Health Reports",2,4390,"Springer Nature",8780
"Deutsches Ärzteblatt International",1,0,"Deutscher Arzte Verlag",0
"Developmental Psychology",1,3500,"American Psychological Association",3500
"Diabetes Care",1,2500,"American Diabetes Association",2500
"Discover Mental Health",1,1790,"Springer Nature",1790
"eClinicalMedicine",1,6810,"Elsevier",6810
"Endocrine",1,5190,"Springer Nature",5190
"Endocrine Connections",1,2401,"Bioscientifica",2401
"Endocrine Practice",2,3850,"Elsevier",7700
"Endocrine Research",1,3940,"Taylor & Francis",3940
"Endocrine Reviews",1,3938,"Oxford University Press",3938
"Endocrinología, Diabetes y Nutrición (English ed.)",1,2360,"Elsevier",2360
"Endocrinology",1,3938,"Oxford University Press",3938
"Endocrinology and Metabolism Clinics of North America",1,3900,"Elsevier",3900
"European Child & Adolescent Psychiatry",3,4990,"Springer Nature",14970
"European Journal of Developmental Psychology",12,3988,"Taylor & Francis",47856
"European Journal of Endocrinology",6,4538,"Oxford University Press",27228
"European Journal of Pediatrics",1,4990,"Springer Nature",4990
"European Psychiatry",2,3655,"Cambridge University Press",7310
"Family & Law",1,0,NA,0
"Family process",1,3570,"Wiley",3570
"Fertility and Sterility",1,4420,"Elsevier",4420
"Frontiers in Endocrinology",2,3893,"Frontiers Media",7786
"Frontiers in Global Women's Health",2,3331,"Frontiers Media",6662
"Frontiers in Human Neuroscience",1,3921,"Frontiers Media",3921
"Frontiers in Immunology",5,3893,"Frontiers Media",19465
"Frontiers in Psychiatry",1,3921,"Frontiers Media",3921
"Frontiers in Psychology",1,3893,"Frontiers Media",3893
"General Psychiatry",1,2700,"Wiley",2700
"Healthcare",1,3337,"MDPI",3337
"History of Psychiatry",1,3910,"Sage Publications",3910
"Hormone Research in Paediatrics",2,4190,"Karger",8380
"Hormones",1,3490,"Springer Nature",3490
"Hormones and Behavior",1,3520,"Elsevier",3520
"Human Reproduction",1,4918,"Oxford University Press",4918
"Human Reproduction Update",1,4770,"Oxford University Press",4770
"Human Systems",1,3640,"Sage Publications",3640
"International Journal of Adolescent Medicine and Health",1,683,"De Gruyter Brill",683
"International Journal of Clinical and Health Psychology",1,3500,"Elsevier",3500
"International Journal of Environmental Research and Public Health",1,3112,"MDPI",3112
"International Journal of Pediatric Endocrinology",1,0,"Springer Nature",0
"International Journal of Sexual Health",1,4320,"Taylor & Francis",4320
"International Journal of Transgender Health",6,5166,"Taylor & Francis",30996
"International Journal of Transgenderism",2,0,"Taylor & Francis",0
"International Review of Psychiatry",1,4819,"Taylor & Francis",4819
"International Urogynecology Journal",1,3890,"Springer Nature",3890
"JAMA Network Open",2,4000,"JAMA Network",8000
"JAMA Pediatrics",6,6000,"JAMA Network",36000
"JAMA Psychiatry",1,6000,"JAMA Network",6000
"JCEM Case Reports",1,1300,"Oxford University Press",1300
"Journal of Adolescent Health",6,4070,"Elsevier",24420
"Journal of Affective Disorders",1,3730,"Elsevier",3730
"Journal of Analytical Psychology",2,3300,"Wiley",6600
"Journal of Autism and Developmental Disorders",2,3290,"Springer Nature",6580
"Journal of Bioethical Inquiry",1,4790,"Springer Nature",4790
"Journal of Child Psychology and Psychiatry",1,4530,"Wiley",4530
"Journal of Child Psychotherapy",4,3272,"Taylor & Francis",13088
"Journal of Clinical Densitometry",1,3000,"Elsevier",3000
"Journal of Clinical Medicine",2,3214,"MDPI",6428
"Journal of Clinical Nursing",2,5450,"Wiley",10900
"Journal of Controversial Ideas",3,0,"Foundation for Freedom of Thought and Discussion",0
"Journal of Endocrinological Investigation",1,4990,"Springer Nature",4990
"Journal of Experimental Child Psychology",1,3330,"Elsevier",3330
"Journal of Homosexuality",2,4370,"Taylor & Francis",8740
"Journal of Infant, Child, and Adolescent Psychotherapy",1,3565,"Taylor & Francis",3565
"Journal of Law, Medicine & Ethics",1,3655,"Cambridge University Press",3655
"Journal of Medical Ethics",5,5977,"BMJ Group",29885
"Journal of Nervous and Mental Disease",1,3485,"Wolters Kluwer",3485
"Journal of Open Inquiry in the Behavioral Sciences",1,75,"Society for Open Inquiry in Behavioral Science",75
"Journal of Pediatric and Adolescent Gynecology",1,3230,"Elsevier",3230
"Journal of pediatric endocrinology & metabolism: JPEM",1,1675,"De Gruyter Brill",1675
"Journal of Pediatric Endocrinology and Metabolism",2,1667,"De Gruyter Brill",3334
"Journal of Pediatric Psychology",1,4549,"Oxford University Press",4549
"Journal of Plastic, Reconstructive & Aesthetic Surgery",1,3470,"Elsevier",3470
"Journal of Sex & Marital Therapy",24,4369,"Taylor & Francis",104856
"Journal of Surgical Case Reports",1,945,"Oxford University Press",945
"Journal of the American Academy of Child & Adolescent Psychiatry",3,4420,"Elsevier",13260
"Journal of the American College of Clinical Pharmacy",1,3640,"Wiley",3640
"Journal of the Endocrine Society",2,3418,"Oxford University Press",6836
"Journal of Vascular Diseases",1,1494,"MDPI",1494
"L'Évolution Psychiatrique",1,4928,"Elsevier",4928
"LGBT Health",1,4710,"Sage Publications",4710
"Mental Wellness",1,0,"PAGEPress",0
"Metalogos Systemic Therapy Journal",1,0,"Systemic Association of Northern Greece",0
"Molecular Reproduction and Development",1,4470,"Wiley",4470
"Monographs of the Society for Research in Child Development",1,3183,"Oxford University Press",3183
"Nature Human Behaviour",3,12850,"Springer Nature",38550
"Nature Reviews Psychology",1,0,"Springer Nature",0
